"","name","value"
"1471","dailymail","
          Harry Potter Reunion FIRST LOOK: The Daily Prophet reports Hogwarts return, Hagrid and Neville receive their invites and a peek at Hermione in trailer
          "
"1472","dailymail","
          Proud mum Perrie Edwards shares sweet festive clip of baby son Axel taking his first steps after announcing Little Mix split 
          "
"1473","dailymail","
          Alice Evans, 53, cuts a low-key figure as she steps out in Los Angeles... after estranged husband Ioan Gruffudd, 48, made his first public appearance with new girlfriend
          "
"1474","dailymail","
          Vanderpump Rules star Raquel Leviss packs her bags and moves out of the apartment she shared with ex James Kennedy after announcing split 
          "
"1475","dailymail","
          JANET STREET-PORTER: A fancy-dress photocall and harassing a few middle-class hedonists may get Boris some good headlines but it will do nothing to help the 300,000 addicts
          "
"1476","dailymail","
          Candice Swanepoel looks incredible in white gown as she joins Hilary Swank and Alessandra Ambrosio at star-studded premiere of Cyrano in Saudi Arabia
          "
"1477","dailymail","
          EastEnders' Ricky Champ is 'honoured' to be trusted with his latest storyline - which sees his character Stuart Highway diagnosed with breast cancer
          "
"1478","dailymail","
          RHONJ star Teresa Giudice, 49, poses with the  stunning lookalike daughters she shares with ex-husband Joe Giudice: 'All 4 of you make me so proud'
          "
"1479","dailymail","
          Kim Kardashian sizzles in pink as she announces second drop for 'groundbreaking' SKIMS collaboration with Fendi... after first drop sold out in ONE minute
          "
"1480","dailymail","
          Maura Higgins looks incredible in polka dot mini dress as she poses for stunning beach snaps from her trip to the Maldives 
          "
"1481","dailymail","
          Drake withdraws his two Grammy nominations for Best Rap Album and Best Rap Performance ... after he slammed the Recording Academy 
          "
"1482","dailymail","
          Ioan Gruffudd's new girlfriend Bianca Wallace returns to Instagram after making her first appearance with star... as his estranged wife Alice brushes off romance
          "
"1483","dailymail","
          Jared Leto rocks Gucci bottoms with a T-shirt while stepping out in Miami Beach... as his film House of Gucci takes the third spot in weekend box office roundup
          "
"1484","dailymail","
          Lewis Hamilton handed boost in bid to land SPOTY hat-trick after BBC delay revealing shortlist for prestigious award until F1 title is decided
          "
"1485","dailymail","
          Emily Ratajkowski brings the Christmas cheer in a red swimsuit that makes the most of her toned body... 9 months after welcoming her first child
          "
"1486","dailymail","
          Shang Chi sequel officially greenlit with Destin Daniel Cretton returning to direct: 'I couldn't be more excited!'
          "
"1487","dailymail","
          Chris Noth had no idea his And Just Like That co-star Willie Garson had cancer: 'Most of us didn't know'
          "
"1488","dailymail","
          Critics Choice Awards TV nominations: Succession leads with eight nods as Mare Of Easttown and Evil get five each
          "
"1489","dailymail","
          Iggy Azalea sends a message to 'all the single parents this Christmas' after revealing she's keen to find love again following her split with her son Onyx's father
          "
"1490","dailymail","
          Willem Dafoe teases Green Goblin has 'more tricks up his sleeve' with upgraded, 'more flexible' costume in Spider-Man: No Way Home
          "
"1491","dailymail","
          FKA twigs wows in dramatic orange hooded gown as she attends glittering The King's Man premiere in London
          "
"1492","dailymail","
          Lil Nas X gathers celebrity friends including Avril Lavigne and Jack Harlow for iconic TikTok clip after accepting Variety award
          "
"1493","dailymail","
          Only Fools And Horses actor Benjamin Smith looks unrecognisable 20 years on from his debut as Damien Trotter in beloved sitcom
          "
"1494","dailymail","
          'Privileged' Prince Harry is SLAMMED on social media for saying that leaving your job will bolster 'mental health awakening' during new interview to played startup
          "
"1495","dailymail","'It's practically criminal': Brooke Shields SLAMS 1981 Barbara Walters interview after being grilled over her measurements, being sexualised and THAT Calvin Klein campaign at just 15"
"1496","dailymail","Sex-slave girls forced to 'marry' ISIS-linked militants are raped daily after the terror group kidnapped 600 women and children in three years in Mozambique, report reveals"
"1497","dailymail","UAE changes its working week from Sun-Thurs to Mon-Fri - in line with western schedules - but with Friday afternoons off because it is the Islamic holy day "
"1498","dailymail","Viewers left baffled by Clodagh McKenna's VERY sparse £5 Christmas dinner featuring a bacon-wrapped turkey breast, roast veg and cranberry sauce - and insist you can buy ready-made trimmings for 29p "
"1499","dailymail","Tate Modern viewing platform that overlooks £2m luxury flats is an 'invasion of privacy', Supreme Court hears as owners begin final legal bid to stop 'hundreds of thousands' of gallery visitors peering through their windows"
"1500","dailymail","Lib Dem candidate issues grovelling apology after 'comparing Priti Patel to Nazi propaganda chief Goebbels' "
"1501","dailymail","Overweight detective wins £10,000 for her hurt feelings after boss told her she would feel better if she stopped 'drinking gallons of coke'"
"1502","dailymail","Alcohol-related deaths in Britain hit highest EVER level in 2020: Experts say Covid lockdowns helped fuel the 20% yearly rise in fatalities "
"1503","dailymail","Radio 1 DJ Adele Roberts, 42, shares the side effects of chemotherapy with fans - including 'sausage fingers' and sore teeth - as she continues treatment for bowel cancer"
"1504","dailymail","Could this bloody TV series be the next Killing Eve? Gory drama Ragdoll from the makers of serial killer hit follows detectives investigating six murders - after finding bodies SEWN together to make a Frankenstein-like monster"
"1505","dailymail","BritBox adds 'woke' content warning to Some Mothers Do Ave Em Christmas episode after BBC launched investigation into 'homophobic slur' in the episode "
"1506","dailymail","A real state! Viral Instagram account reveals the most bizarre property listing photos - from a flat with a double bed over the stairs to a hot tub in a kitchen"
"1507","dailymail","Stay away from the cliffs! Moment massive rock fall crashes down onto Devon beach as new warning is issued after more cracks are spotted and Storm Barra lashes Britain "
"1508","dailymail","Therapy farm volunteer, 73, dies after being repeatedly rammed by a 'comfort' sheep that charged at her while she was feeding the animals "
"1509","dailymail","Elon Musk says Neuralink could start implanting chips in humans in 2022: People with severe spinal injuries would get the tech that the billionaire says could help them walk again"
"1510","dailymail","Teenager's helmet camera captures terrifying near-miss when impatient driver pulls out in front of him"
"1511","dailymail","Tories received £3.7million in donations in the third quarter of 2021 - DOUBLE Labour's £1.8million - as the Conservative Party's treasurer gifts £750,000 to Boris Johnson's elections war chest"
"1512","dailymail","Unions plot Christmas strikes at Tesco distribution centres over pay but supermarket bosses insist shelves WON'T empty during festive season"
"1513","dailymail","'This should be an abomination but it works!': Walkers splits fans after unveiling unusual festive flavours - including MINCE PIES, Pigs in Blankets and Roast Potato"
"1514","dailymail","The VERY surreal suburban murders behind Olivia Colman's Landscapers: How Susan and Christopher Edwards shot her parents and pretended they were alive for 15 YEARS before their bodies were found buried in the back garden"
"1515","dailymail","Qatari media boss, 32, 'repeatedly raped woman in his £1.5m luxury London flat where he threatened to cut her into pieces after laying out knife, plastic bag and tape next to her while she slept'"
"1516","dailymail","Rape victims say they were 'not believed' and 'belittled' by Met Police, as study shows just 1% of alleged attacks in the Capital reach trial"
"1517","dailymail","Lewis Hamilton sells his sprawling New York penthouse for $49.5m despite never living in the property - which boasts FIVE bedrooms, a plunge pool and multiple terraces"
"1518","dailymail","You've polished off the turkey and waved off the relatives - so what do you do to relax before the New Year festivities begin? We have the solution with our perfect Twixmas* getaways (*the time between Boxing Day and December 31)"
"1519","dailymail","A birthday princess! Future Dutch queen Amalia is regal in red in official portraits taken at The Hague's Huis ten Bosch Palace to mark her 18th"
"1520","dailymail","Wealthy aristocrat Sir Benjamin Slade quizzed by police over £1.4million cannabis farm found in his castle has 'not yet' been charged over the discovery despite his bank card being found on the scene, trial hears "
"1521","dailymail","E-fuels offering hope for new petrol cars to remain on sale after 2030 ban are found to emit as much poisonous nitrogen oxides as fossil fuels"
"1522","dailymail","Forget sit, stay and roll over! Dogs understand 89 WORDS on average, study reveals "
"1523","dailymail","Controversial 'Stern Queen' painting by British artist Norman Hutchinson - which sparked a storm over its 'dour' depiction of Elizabeth II in 1988 - goes back on sale for £8,000"
"1524","dailymail","QC asks Twitter to make a photo of him in his wig and gown look 'Christmassy' and people oblige with hilarious results - including putting him in the Virgin Mary's arms, on the cover of Die Hard and posing with East 17 "
"1525","dailymail","Cardiff City FC owner Vincent Tan is seeking a new skipper, but not for the football club - his stunning multihull superyacht is on the market for £30million"
"1526","dailymail","Bark together: Trinity and Buck yap and howl with excitement as they are reunited at doggie daycare after 18 months apart "
"1527","dailymail","These 'super elegant and comfortable' patterned tights will elevate your party look this Christmas - and they're on sale for under £20"
"1528","dailymail","The Pope's Marilyn Monroe moment! Pontiff's cassock gets caught in the wind as he boards a flight from Greece"
"1529","dailymail","Father of three girls 'murdered by their mother' returns to South Africa as his wife remains in a psychiatric ward before her next court appearance "
"1530","dailymail","Best savings rates: Savings platforms to manage your money in one place - with easy-access, fixed-rates and notice accounts and bonus boosters"
"1531","dailymail","'Was it your dyslexia that meant you misread the social distancing rules?' Phillip Schofield is condemned for mocking disgraced former Health Secretary Matt Hancock's dyslexia"
"1532","dailymail","A Christmas wreath fit for a Queen! Royal Household florists reveal how to make your own festive door decoration in seven simple steps"
"1533","dailymail","Monstrously enticing: Stunning London apartment on site where Frankenstein author Mary Shelley once lived is on the market for £1million"
"1534","dailymail","US hiker finds human bone with metal surgical plate and solves missing persons case: Cops say it's from mentally-ill man, 55, who vanished in 2013 "
"1535","dailymail","Can YOU spot the Christmas tree in this festive print? Tricky seek-and-find puzzle will put your observational skills to the test"
"1536","dailymail","'Literally the comfiest blanket there is': Over 56,000 shoppers have left five-star ratings for this snuggly fleece blanket (and it's now on sale from just £9.99)"
"1537","dailymail","Want barista-worthy coffee at home? This De'Longhi capsule machine with over 3,000 five-star reviews is on sale for just £49 - and it comes with six boxes of pods for FREE"
"1538","dailymail","Apple could launch a 'rugged' version of the Apple Watch aimed at athletes in 2022, report claims "
"1539","dailymail","'I was saved by spell-check': Matt Hancock, 43, reveals he kept his dyslexia secret for 20 years... after it was first spotted at university when his tutor exclaimed 'you can talk, but you can't WRITE'"
"1540","dailymail","Electric vehicles twice as likely to suffer wheel and tyre breakdowns than petrol and diesel cars due to heavier weight, recovery service warns"
"1541","dailymail","A fixed-rate 'savings' account offering a 2% rate underpinned by... gold: We take a look at Tally Money and the potential risks"
"1542","dailymail","Huge 200ft-long late Iron Age longhouse is discovered in Norway near where a Viking-era ship was found in 2018 "
"1543","dailymail","A celestial heavyweight! Southern Cross star is 14.5 times HEAVIER than Earth's sun and as young as 11 million years old, study reveals"
"1544","dailymail","Odyssey of the SQUEEZE! Amazing video shows mammoth cruise ship being pulled very carefully out to sea along a river - sometimes with just inches of clearance"
"1545","dailymail","Paris aristocrat who claims to be the rightful King of France demands the return of his family chateau and estate - which featured as Bond villain's lair - in row over turning it into a hotel "
"1546","dailymail","Rogue builders, 21 and 19, who conned brain-damaged homeowner out of £13,500 after giving him a £10 estimate for roofing work are jailed - after being caught with a 'how-to' guide on defrauding people"
"1547","dailymail","He understood the assignment! California middle school teacher goes viral after showing students his dance moves "
"1548","dailymail","
          Joe Gorga is pulled off the stage by his wife Melissa as he completely bombs stand-up routine after taking combination of Sudafed and alcohol
          "
"1549","dailymail","
          DAN WOOTTON: A warning to the unwary; don't quit your job like holier-than-thou Harry advises unless Silicon Valley's wokerati are lining up to throw millions at you for doing nothing too 
          "
"1550","dailymail","
          The Matrix Resurrections' second trailer unveils Jada Pinkett Smith in old age make-up as Niobe
          "
"1551","dailymail","
          Becky Hill flaunts her abs in sequinned purple shirt as she joins Wes Nelson to film Top of the Pops Christmas special
          "
"1552","dailymail","
          Little People, Big World star Jacob Roloff announces his wife Isabel Roloff has given birth to their first child, a baby boy
          "
"1553","dailymail","
          Cardi B sizzles in racy lace-up jumpsuit for the launch of her new alcohol infused whipped cream line in Miami
          "
"1554","dailymail","
          Doctor Who fans left shocked after Jodie Whittaker's Time Lord makes PAUL HOLLYWOOD GBBO handshake reference in Flux finale
          "
"1555","dailymail","
          Georgia Toffolo commands attention in a gold halterneck dress as she makes a glamorous appearance at Cigar Smoker Of The Year event
          "
"1556","dailymail","
          Strictly's Dan Walker poses with glamorous dance partner Nadiya Bychkova at It Takes Two as they are seen together for the first time since their emotional elimination
          "
"1557","dailymail","
          Evan Rachel Wood claims Marilyn Manson threatened 'to f**k' her eight-year-old son and 'destroy' the families of his other alleged victims
          "
"1558","dailymail","
          Claudia Schiffer, 51, wows in pearl-embellished gown joins director husband Matthew Vaughn, 50, for rare red carpet appearance at the The King's Man premiere 
          "
"1559","dailymail","
          Aaron Carter 'is back on' with on/off fiancee Melanie Martin as he 'gushes' about her and their newborn son on his now-deleted Instagram... just days after their messy split
          "
"1560","dailymail","
          Bode Miller and wife Morgan reveal they've welcomed a baby girl in a home birth - three and a half years after tragic drowning death of their daughter Emmy
          "
"1561","dailymail","
          Candice Swanepoel is a smoldering bikini-clad sailor as she promotes her swimwear line Tropic Of C: 'Sail away with me'
          "
"1562","dailymail","
          Chris Pine keeps it casual in a denim  jacket over a gray shirt and matching jeans as he goes on a solo coffee run near his home in Los Feliz
          "
"1563","dailymail","
          Duggar family friend breaks down in tears while describing how 15-year-old Josh Duggar confessed to molesting four of his young sisters over the years
          "
"1564","dailymail","
          Dave Chapelle RETURNS to Netflix despite being 'cancelled' after furious backlash over transgender comments in his special The Closer
          "
"1565","dailymail","
          John Mulaney announces From Scratch tour... as comedian hits the road for first time since divorce and baby  announcement with Olivia Munn
          "
"1566","dailymail","
          Ofcom CLEARS LBC radio host Steve Allen of breaching broadcasting standards after he called Gordon Ramsay's Strictly star daughter Tilly a 'chubby little thing' 
          "
"1567","dailymail","
          'I'm not sure if it's easier in the castle or here!' Wayne Bridge admits he's 'messed up a few times' while looking after sons in Frankie's IAC stint
          "
"1568","dailymail","
          'It's not part of the job requirement' Rebecca Adlington slams cruel trolls who criticised her looks during her time as an Olympic swimmer
          "
"1569","dailymail","
          Fearne Cotton reveals how the pandemic has impacted her love life as she says her boobs are 'deflated' and admits she misses her 'big milky t*ts'
          "
"1570","dailymail","
          Last orders! Emmerdale fire leaves iconic pub The Woolpack closed for business as images reveal charred brickwork and boarded windows
          "
"1571","dailymail","
          Feeling festive! Crown Princess Victoria of Sweden dazzles in a sparkly sequin two-piece during second day of whirlwind visit to Paris
          "
"1572","dailymail","
          Coleen and Wayne Rooney splash out '£10,000 on Christmas decorations' for their £20m mansion in Cheshire
          "
"1573","dailymail","
          Jussie Smollett testifies that he had been to gay bathhouses, done drugs and 'masturbated together' with one of the two Nigerian brothers
          "
"1574","dailymail","
          Chrissy Teigen and John Legend buy out entire row at NYC's vax only Radio City Music Hall 'to avoid crowds and onlookers'
          "
"1575","dailymail","
          Will Jussie take the stand? Defense could call Empire star in a 'Hail Mary' attempt to give his side of the story 
          "
"1576","dailymail","
          Strictly's John Whaite shows off his bulging biceps in a tight black vest as he heads to rehearsals following lift blunder on the hit BBC show
          "
"1577","dailymail","
          Gemma Arterton looks chic in a black dress while Ralph Fiennes downs pints at pop-up pub ahead of The King's Man film premiere
          "
"1578","dailymail","
          Singer John Miles who hit the big time with Music Was My First Love and It Will Be My Last and worked with Tina Turner, Jimmy Page and Andrea Bocelli has died aged 72
          "
"1579","dailymail","
          Jenna Coleman nails winter chic in a grey checkered wool coat as she lugs a suitcase through the streets of London
          "
"1580","dailymail","
          Lily Rose-Depp showcases her incredible figure in a tiny bralet before slipping into ab-flashing crop top for sexy Wonderland shoot
          "
"1581","dailymail","
          Earl Spencer's daughters Amelia and Eliza, 29, say they 'grew up surrounded by poverty' in Cape Town - despite living in a wealthy suburb 
          "
"1582","dailymail","
          Could lightning strike TWICE? I'm A Celebrity looks set for further chaos as Cyclone Challenge prep gets underway hours before 'explosive' Storm Barra is due to hit
          "
"1583","dailymail","
          'I guess it is healthy for me' Holly Hagan expresses shock at learning her BMI is classed as 'overweight' as she strips to her underwear
          "
"1584","dailymail","
          'I'm very protective of her': Sex And The City's Mr Big star Chris Noth defends Sarah Jessica Parker after being 'targeted' by Kim Cattrall in 'nasty' feud
          "
"1585","dailymail","
          Dusting off his dance shoes! Tom Holland CONFIRMS he is set to play Fred Astaire in biopic... 13 years after finding fame as Billy Elliot
          "
"1586","dailymail","
          I'm A Celeb: 'What is his problem?' Adam Woodyatt suffers  backlash for 'smug and snide' comment as viewers spot underlying feud with Naughty Boy
          "
"1587","dailymail","
          John Legend announces Las Vegas residency inside Planet Hollywood: 'The setlist will be a cool, career retrospective'
          "
"1588","dailymail","
          'I was in a state of shock!' Sid Owen's fiancée Victoria Shores, 42, reveals she 'almost blamed herself' after suffering 'heartbreaking' miscarriage before falling pregnant again
          "
"1589","dailymail","
          Heavily pregnant Jennifer Lawrence makes her red carpet debut with bump in a gold gown alongside Leonardo DiCaprio at Don't Look Up premiere
          "
"1590","dailymail","
          The Witcher's Henry Cavill reveals his pet dog Kal has 'saved him emotional and psychologically plenty of times'
          "
"1591","dailymail","
          'What the f**k are you doing!?' Joey Turner sparks outrage by wearing an 'I Love Knife Play' T-shirt... after sharing 'disturbing' weight loss snaps
          "
"1592","dailymail","
          Sarah Ferguson says she is 'the most persecuted woman' in royal history and confesses she 'still loves and stands by' Prince Andrew
          "
"1593","dailymail","
          I'm A Celeb SPOILER: Louise Minchin is locked in a cockroach-infested coffin while Kadeena Cox tackles snakes in Critter-cal Cages trial
          "
"1594","dailymail","
          'It's the best experience ever!' Holly Willoughby insists she 'really enjoyed' all three of her labours even though some 'weren't straightforward'
          "
"1595","dailymail","
          Amanda Holden enjoys boozy girls' weekend away with famous pals including Tamzin Outhwaite, Lisa Faulkner and Angela Griffin
          "
"1596","dailymail","
          Ian Wright forced to leave ITV FA Cup coverage at half time, 30-seconds before going on air after learning his mother had died aged 94 
          "
"1597","dailymail","
          Too sexy for your shirt? First Dates' Fred Sirieix is cheered on by pals after he posts a hilarious video of himself dancing SHIRTLESS on a table
          "
"1598","dailymail","
          'I'm very proud of him': Kate Garraway is moved to tears when Piers Morgan shows her handwritten card from husband Derek Draper on Life Stories 
          "
"1599","dailymail","
          'People think I'm confident but I cover my feelings with a smile': EastEnders star Maisie Smith admits she's 'shaking with nerves' on TV as she discusses feeling lonely
          "
"1600","dailymail","
          'He plays it like Hamlet not comedy': Succession's Jeremy Strong  DOESN'T see Kendall or show as funny - leaving co-stars baffled (and tickled!)
          "
"1601","dailymail","
          'She's smart as hell!' Carol Vorderman, 60, gushes her lookalike daughter Katie King, 29, is 'unstoppable' after they spend a 'top weekend' together
          "
"1602","dailymail","
          Prince Andrew goes for a drive then a horseride after news emerged of his FOUR flights on Jeffrey Epstein's Lolita Express private jet
          "
"1603","dailymail","
          Romelu Lukaku and Ashley Young lead the tributes to Marvin Morgan, a former footballer who became a fashion designer to the stars, after his death
          "
"1604","dailymail","
          Amanda Holden looks chic in black trench coat and leather skirt while Ashley Roberts is gifted a rose by a waiter as they both leave Heart Radio
          "
"1605","dailymail","
          Listen to Prince William choke back tears as he recalls how seeing a boy close to George's age 'on death's door' after a car crash he attended as an air ambulance pilot
          "
"1606","dailymail","
          Jenny Powell, 53, goes braless under revealing silk black cut-out negligee as she strips off in front of the camera during steamy bedroom video
          "
"1607","dailymail","
          Alec and Hilaria Baldwin DELETE Twitter accounts after his tearful ABC interview where he said he didn't pull trigger on gun that killed Halyna Hutchins
          "
"1608","dailymail","
          West Side Story's Rachel Zegler recalls the late Stephen Sondheim telling her she sang 'like a nightingale' in stunning new shoot for ELLE Magazine 
          "
"1609","dailymail","
          'Better get saving!': Gogglebox's Ellie Warner playfully goes engagement ring shopping as she drops huge hint to long-term boyfriend Nat
          "
"1610","dailymail","
          'Trying to keep up with David at the gym!' Victoria Beckham shows off her strength in skintight black sportswear during weightlifting session
          "
"1611","dailymail","
          Strictly Come Dancing star Dan Walker remains upbeat while greeting fans as BBC presenter bounces back from quarter-final elimination
          "
"1612","dailymail","
          TOWIE's Chloe Sims commands attention in red as she joins her leggy sister Frankie for filming... as tensions with Chloe Brockett rumble on
          "
"1613","dailymail","
          'I just want to talk to him': Kate Garraway admits she feels 'very lonely' during husband Derek's 'devastating' Covid battle
          "
"1614","dailymail","
          'I'm so pleased you like my music, Princess Charlotte!' Shakira tweets to Prince William's daughter after he revealed she dances to  Waka Waka
          "
"1615","dailymail","
          It's last dance for Dan and Strictly sex bomb he calls 'amazing': ALISON BOSHOFF reveals the unlikely bond between Breakfast host and his mentor
          "
"1616","dailymail","
          I'm A Celebrity rebounds slightly from ratings slide as 4.9 million viewers tune into first vote-off - after being hit by decline following Storm Arwen
          "
"1617","dailymail","
          Alesha Dixon makes a stylish exit while Emma Corrin ditches her heels for trainers and a T-shirt as stars leave British Independent Film Awards
          "
"1618","dailymail","
          New BBC courtroom drama that has viewers hooked: You Don't Know Me praised for its 'compelling' story of a man accused of murdering a drug dealer
          "
"1619","dailymail","
          Susanna Reid accuses social workers' leader of trying to shift the blame for Arthur's death by suggesting his grandmother should have done more to report his bruising
          "
"1620","dailymail","
          Braless Demi Rose flashes her VERY ample assets in a skimpy white corset as she seductively reclines on a sunbed during California getaway
          "
"1621","dailymail","
          Charles and Harry's relationship 'at rock bottom': Royal experts say father and son now 'appear very distant' after Duke 'expressed concerns' over Saudi billionaire
          "
"1622","dailymail","
          MOBO Awards 2021: Leigh-Anne Pinnock stuns in a slashed leather dress as she presents the  show... three months after giving birth to twins
          "
"1623","dailymail","
          Steve Coogan bears an uncanny resemblance to paedophile Jimmy Savile as he kisses Princess Diana's hand in recreation of royals' visit for The Reckoning
          "
"1624","dailymail","
          Rhian Sugden shows off her curves in a red sheer lingerie set before checking into hospital to have 'suspicious looking' moles removed from her abdomen
          "
"1625","dailymail","
          Charlotte Dawson looks effortlessly chic as she wraps up warm with fiancé Matt and gorgeous son Noah at London's Winter Wonderland
          "
"1626","dailymail","
          I'm A Celebrity 2021: Arlene Phillips, 78, is the FIRST campmate to be eliminated - after making history as show's oldest ever contestant 
          "
"1627","dailymail","
          Yorkshire Shepherdess Amanda Owen says you 'have to take the rough with the smooth' and says she and husband Clive are 'resilient'
          "
"1628","dailymail","
          Will it be third time lucky for Jodie Kidd? Former model is set to wed again after ex-Royal Marine proposed on romantic trip to Paris 
          "
"1629","dailymail","
          Duran Duran announce they're set to headline a three-day Ibiza experience with Pete Tong alongside UK gigs to celebrate 40 years together
          "
"1630","dailymail","
          Kylie Jenner and Travis Scott are '100% together' romantically despite claims they haven't been a couple in 'two years' per W Magazine's leaked issue
          "
"1631","dailymail","
          From the ring to the rink! Boxer Anthony Joshua is forced to use a penguin balancing aid after nearly taking a tumble while ice-skating with son Joseph, 5
          "
"1632","dailymail","
          Giggling Kate Beckinsale stuns in a white gown with metallic sleeves as she presents gong at the British Independent Film Awards
          "
"1633","dailymail","
          Mike Tyson proudly poses up a storm with daughter Milan, 13, at his charity fundraiser in California
          "
"1634","dailymail","
          Madonna poses in a Keith Haring robe as she pays tribute to friend and late artist in edgy shoot: 'Give me your f***ing money AKA pay taxes'
          "
"1635","dailymail","
          Jorgie Porter reveals she is engaged to fiancé Ollie Piotrowski... after losing quadruplets in heartbreaking pregnancy loss
          "
"1636","dailymail","
          Genesis and frontman Phil Collins bring the classic hits and more as The Last Domino? reunion tour rolls into NYC's Madison Square Garden
          "
"1637","dailymail","
          Ben Affleck looks VERY fired up during intense conversation with The Tender Bar co-star Lily Rabe at movie theatre in LA 
          "
"1638","dailymail","
          MOBO Awards 2021: Leigh-Anne Pinnock showcases her incredible post-baby body in cut-out mini dress before going lingerie-free 
          "
"1639","dailymail","
          'It's raised eyebrows': Tilly Ramsay's Strictly danc Nikita Kuzmin 'is in hot water' with girlfriend because he hasn't returned to Germany since vote-off
          "
"1640","dailymail","
          Real Housewives Of Salt Lake City: Mary Cosby denies that her church parishioners worship her as God
          "
"1641","dailymail","
          Love Island star Kaz Crossley is filmed snorting suspicious white powder while TV personality was marooned in Dubai during COVID lockdown
          "
"1642","dailymail","
          Scarlett Johansson glitters in low-cut gold gown as she, Ellie Goulding, and Amy Poehler lead stars at the 44th Kennedy Center Honors in DC
          "
"1643","dailymail","
          Star Trek actress Nichelle Nichols, 88, lights up Comic Con LA with beaming smile during tribute celebrating her retirement 
          "
"1644","dailymail","
          The Walking Dead: World Beyond: Jennifer 'Huck' Mallick dies after stabbing during series finale
          "
"1645","dailymail","
          Meryl Streep has a mod moment in a sheer disc dress as she delights at the Don't Look Up world premiere in New York City
          "
"1646","dailymail","
          Mary J. Blige, 50, slips into tiny Dior bikini for day at the beach in Miami... two days after announcing upcoming new  album Good Morning Gorgeous
          "
"1647","dailymail","
          Fear The Walking Dead: Alicia Clark cuts off her own arm after being bitten by zombie
          "
"1648","dailymail","
          Chris Hemsworth 'guarantees' he will travel to Cowra and wants to see 'The Big Chris' statue  - after town launched  campaign encouraging him to visit
          "
"1649","dailymail","
          Khloe Kardashian says that Kylie Jenner and Travis Scott 'are very much a couple' after report in W Magazine's leaked issue they haven't been together in 'two years'
          "
"1650","dailymail","
          Kate Beckinsale wows in structured white gown as she joins  stars Ruth Wilson and Emma Corrin  at the British Independent Film Awards 
          "
"1651","dailymail","
          BTS is set to take an 'extended period of rest' after banner year 'to get re-inspired and recharge with creative energy'
          "
"1652","dailymail","
          Coronation Street's Roy Cropper 'to make surprise return to soap for Christmas comeback' after shock exit
          "
"1653","dailymail","
          Scandal actor Joshua Malina says 'cancel culture' doesn't exist with Mel Gibson's return to Lethal Weapon... citing allegations of anti-Semitism
          "
"1654","dailymail","
          Bono masks up while stepping out for a Sunday afternoon lunch at Gjelina restaurant in Venice
          "
"1655","dailymail","
          Succession Season 3 Episode 8 recap: The Roy family prepares to acquire GoJo while Kendall has a tense meeting with Logan at Caroline's wedding
          "
"1656","dailymail","
          Jonah Hill and girlfriend Sarah Brady don matching light blue suits for Don't Look Up premiere in New York City
          "
"1657","dailymail","
          Jessica Alba is every bit the doting mom as she carries son Hayes, three, as she and husband Cash Warren shop for Christmas trees in West Hollywood
          "
"1658","dailymail","
          Pete Davidson looks handsome in a black tuxedo as he attends The Kennedy Honors without rumored love interest Kim Kardashian
          "
"1659","dailymail","
          Vanessa Hudgens dons black fringed jacket as she hangs out on the sideline before singing national anthem at Raiders game in Las Vegas
          "
"1660","dailymail","
          Rebel Wilson is unrecognisable as the slimmed-down star is greeted by her sister Annachi at Sydney Airport in an oversized tracksuit
          "
"1661","dailymail","
          Former Bachelor contestant Sydney Lotuaco gets ENGAGED to beau Nick Wehby: 'He was very much worth the wait!'
          "
"1662","dailymail","
          Kourtney Kardashian shares adorable photos of son Reign and nephew Saint hamming it up in matching sweats and nameplate necklaces
          "
"1663","dailymail","
          Chrissy Teigen dons black leather jacket over sports bra and clinging leggings while out with John Legend and their brood in New York
          "
"1664","dailymail","
          Encanto is tops again by keeping hold of No. 1 spot at the domestic box office ahead of Ghostbusters: Afterlife
          "
"1665","dailymail","
          Ioan Gruffudd makes his FIRST public appearance with new girlfriend Bianca Wallace as couple emerge in LA
          "
"1666","dailymail","
          Lil Nas X  bares six-pack abs in a metallic pink crop top and skirt with cowboy hat at Audacy Beach Festival in Florida
          "
"1667","dailymail","
          Paul Walker's brother Cody reunites with Vin Diesel at annual FuelFest festival... just days after marking eight years since star's tragic death
          "
"1668","dailymail","
          I'm A Celebrity 2021: Danny Miller admits he wants to MARRY David Ginola as the hunky footballer dances shirtless to The Full Monty with Simon Gregson
          "
"1669","dailymail","
          CHRISTOPHER STEVENS reviews the weekend's TV: A sweet love story behind every drug gang shooting? Don't be daft
          "
"1670","dailymail","
          'Sail away, to the cold expanse of space': Grimes releases bitter break-up track 'Player of Games' about Elon Musk and sings 'he'll always love the game, more than he loves me'
          "
"1671","dailymail","
          Love Island's Camilla Thurlow and Jamie Jewitt announce they are expecting their second child with a heartwarming video
          "
"1672","dailymail","
          Martha De Laurentiis after more than four decade Hollywood producing career dies at age 67 of cancer
          "
"1673","dailymail","
          Chris Hemsworth  says Extraction 2 should have been filmed in Sydney instead of Prague - which now faces a resurgence in cases
          "
"1674","dailymail","
          Florence Pugh says she FAINTED when she got her new septum piercing as she shows off the bling at the NYC Don't Look Up premiere
          "
"1675","dailymail","
          James Argent looks slimmer than EVER as he steps out on his birthday and shows off incredible 11 stone weight loss following gastric sleeve surgery
          "
"1676","dailymail","
          MOBO Awards 2021: Skepta takes home Best Grime Act while Dave receives Album Of The Year award as they lead this year's winners
          "
